id;Gemeente;Screening;Percentage;
312;Bunnik;Borstkanker 2022-2024;73,2;
1924;Goeree-Overflakkee;Borstkanker 2022-2024;73,2;
542;Krimpen aan den IJssel;Borstkanker 2022-2024;73,2;
532;Stede Broec;Darmkanker 2024;73,2;
1700;Twenterand;Darmkanker 2024;73,2;
294;Winterswijk;Borstkanker 2022-2024;73,2;
1680;Aa en Hunze;Darmkanker 2024;73,1;
243;Harderwijk;Borstkanker 2022-2024;73,1;
118;Hoogeveen;Borstkanker 2022-2024;73,1;
1621;Lansingerland;Darmkanker 2024;73,1;
826;Oosterhout;Darmkanker 2024;73,1;
1926;Pijnacker-Nootdorp;Darmkanker 2024;73,1;
532;Stede Broec;Borstkanker 2022-2024;73,1;
984;Venray;Darmkanker 2024;73,1;
988;Weert;Darmkanker 2024;73,1;
222;Doetinchem;Darmkanker 2024;73;
230;Elburg;Borstkanker 2022-2024;73;
873;Woensdrecht;Borstkanker 2022-2024;73;
1641;Maasgouw;Borstkanker 2022-2024;72,9;
1708;Steenwijkerland;Borstkanker 2022-2024;72,9;
1900;S̼dwest-Frysl̢n;Darmkanker 2024;72,9;
988;Weert;Borstkanker 2022-2024;72,9;
358;Aalsmeer;Borstkanker 2022-2024;72,8;
654;Borsele;Darmkanker 2024;72,8;
1891;Dantumadiel;Borstkanker 2022-2024;72,8;
317;Eemnes;Darmkanker 2024;72,8;
777;Etten-Leur;Darmkanker 2024;72,8;
779;Geertruidenberg;Darmkanker 2024;72,8;
246;Heerde;Darmkanker 2024;72,8;
1963;Hoeksche Waard;Darmkanker 2024;72,8;
342;Soest;Borstkanker 2022-2024;72,8;
1900;S̼dwest-Frysl̢n;Borstkanker 2022-2024;72,8;
626;Voorschoten;Darmkanker 2024;72,8;
1959;Altena;Darmkanker 2024;72,7;
744;Baarle-Nassau;Borstkanker 2022-2024;72,7;
757;Boxtel;Darmkanker 2024;72,7;
221;Doesburg;Borstkanker 2022-2024;72,7;
114;Emmen;Borstkanker 2022-2024;72,7;
777;Etten-Leur;Borstkanker 2022-2024;72,7;
74;Heerenveen;Borstkanker 2022-2024;72,7;
263;Maasdriel;Darmkanker 2024;72,7;
1978;Molenlanden;Darmkanker 2024;72,7;
441;Schagen;Darmkanker 2024;72,7;
1949;Waadhoeke;Borstkanker 2022-2024;72,7;
351;Woudenberg;Borstkanker 2022-2024;72,7;
203;Barneveld;Borstkanker 2022-2024;72,6;
1771;Geldrop-Mierlo;Darmkanker 2024;72,6;
1771;Geldrop-Mierlo;Borstkanker 2022-2024;72,6;
397;Heemstede;Borstkanker 2022-2024;72,6;
415;Landsmeer;Borstkanker 2022-2024;72,6;
1740;Neder-Betuwe;Borstkanker 2022-2024;72,6;
828;Oss;Darmkanker 2024;72,6;
1992;Voorne aan Zee;Borstkanker 2022-2024;72,6;
880;Wormerland;Darmkanker 2024;72,6;
484;Alphen aan den Rijn;Borstkanker 2022-2024;72,5;
888;Beek;Darmkanker 2024;72,5;
1954;Beekdaelen;Darmkanker 2024;72,5;
1954;Beekdaelen;Borstkanker 2022-2024;72,5;
534;Hillegom;Borstkanker 2022-2024;72,5;
579;Oegstgeest;Darmkanker 2024;72,5;
269;Oldebroek;Darmkanker 2024;72,5;
279;Scherpenzeel;Borstkanker 2022-2024;72,5;
1708;Steenwijkerland;Darmkanker 2024;72,5;
1706;Cranendonck;Darmkanker 2024;72,4;
575;Noordwijk;Borstkanker 2022-2024;72,4;
1783;Westland;Darmkanker 2024;72,4;
873;Woensdrecht;Darmkanker 2024;72,4;
59;Achtkarspelen;Borstkanker 2022-2024;72,3;
1980;Dijk en Waard;Borstkanker 2022-2024;72,3;
1676;Schouwen-Duiveland;Borstkanker 2022-2024;72,3;
294;Winterswijk;Darmkanker 2024;72,3;
1892;Zuidplas;Darmkanker 2024;72,3;
60;Ameland;Darmkanker 2024;72,2;
308;Baarn;Borstkanker 2022-2024;72,2;
216;Culemborg;Borstkanker 2022-2024;72,2;
1940;De Fryske Marren;Darmkanker 2024;72,2;
233;Ermelo;Borstkanker 2022-2024;72,2;
547;Leiderdorp;Darmkanker 2024;72,2;
339;Renswoude;Darmkanker 2024;72,2;
180;Staphorst;Borstkanker 2022-2024;72,2;
994;Valkenburg aan de Geul;Borstkanker 2022-2024;72,2;
867;Waalwijk;Borstkanker 2022-2024;72,2;
632;Woerden;Darmkanker 2024;72,2;
214;Buren;Darmkanker 2024;72,1;
150;Deventer;Borstkanker 2022-2024;72,1;
971;Stein;Darmkanker 2024;72,1;
627;Waddinxveen;Darmkanker 2024;72,1;
613;Albrandswaard;Darmkanker 2024;71,9;
654;Borsele;Borstkanker 2022-2024;71,9;
534;Hillegom;Darmkanker 2024;71,9;
1911;Hollands Kroon;Darmkanker 2024;71,9;
37;Stadskanaal;Borstkanker 2022-2024;71,9;
451;Uithoorn;Borstkanker 2022-2024;71,9;
303;Dronten;Borstkanker 2022-2024;71,8;
664;Goes;Darmkanker 2024;71,8;
664;Goes;Borstkanker 2022-2024;71,8;
396;Heemskerk;Borstkanker 2022-2024;71,8;
397;Heemstede;Darmkanker 2024;71,8;
1735;Hof van Twente;Darmkanker 2024;71,8;
851;Steenbergen;Darmkanker 2024;71,8;
289;Wageningen;Darmkanker 2024;71,8;
377;Bloemendaal;Darmkanker 2024;71,7;
1711;Echt-Susteren;Darmkanker 2024;71,7;
523;Hardinxveld-Giessendam;Darmkanker 2024;71,7;
1709;Moerdijk;Darmkanker 2024;71,7;
448;Texel;Darmkanker 2024;71,7;
1696;Wijdemeren;Borstkanker 2022-2024;71,7;
484;Alphen aan den Rijn;Darmkanker 2024;71,6;
373;Bergen (NH);Borstkanker 2022-2024;71,6;
537;Katwijk;Darmkanker 2024;71,6;
331;Lopik;Darmkanker 2024;71,6;
556;Maassluis;Borstkanker 2022-2024;71,6;
575;Noordwijk;Darmkanker 2024;71,6;
983;Venlo;Borstkanker 2022-2024;71,6;
867;Waalwijk;Darmkanker 2024;71,6;
1969;Westerkwartier;Darmkanker 2024;71,6;
489;Barendrecht;Borstkanker 2022-2024;71,5;
1980;Dijk en Waard;Darmkanker 2024;71,5;
232;Epe;Darmkanker 2024;71,5;
784;Gilze en Rijen;Darmkanker 2024;71,5;
173;Oldenzaal;Darmkanker 2024;71,5;
